,Legacy Xpaths,Components,Styles,Given Components,Given Styles,Match
584,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
585,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/case,footnote,Footnote Text,footnote,Footnote Text,TRUE
586,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/case/casehistoryphrase,footnote,Footnote Text,footnote,Footnote Text,TRUE
587,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/case/casepart,footnote,Footnote Text,footnote,Footnote Text,TRUE
588,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/case/casepart/casedisplay,footnote,Footnote Text,footnote,Footnote Text,TRUE
589,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/case/casepart/casedisplay/cslink,footnote,Footnote Text,footnote,Footnote Text,TRUE
590,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/case/casepart/casedisplay/cslink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
591,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/i,footnote,Footnote Text,footnote,Footnote Text,TRUE
592,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
593,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
594,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
595,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/section/p/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
596,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note,note,TRNote,note,TRNote,TRUE
597,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p,note,TRNote,note,TRNote,TRUE
598,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/sttxlink,note,TRNote,note,TRNote,TRUE
599,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/sttxlink/marker,note,TRNote,note,TRNote,TRUE
600,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
601,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/fn/strulink,footnote,Footnote Text,footnote,Footnote Text,TRUE
602,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
603,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
604,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
605,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/irclink,note,TRNote,note,TRNote,TRUE
606,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/note/p/irclink/marker,note,TRNote,note,TRNote,TRUE
607,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol,list,TRNormal,list,TRNormal,TRUE
608,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li,list,TRNormal,list,TRNormal,TRUE
609,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/irclink,list,TRNormal,list,TRNormal,TRUE
610,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/irclink/marker,list,TRNormal,list,TRNormal,TRUE
611,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
612,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
613,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
614,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/i,list,TRNormal,list,TRNormal,TRUE
615,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/sttxlink,list,TRNormal,list,TRNormal,TRUE
616,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/ol/li/sttxlink/marker,list,TRNormal,list,TRNormal,TRUE
617,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p,paragraph,TRNormal,paragraph,TRNormal,TRUE
618,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/sttxlink,paragraph,TRNormal,paragraph,TRNormal,TRUE
619,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/sttxlink/marker,paragraph,TRNormal,paragraph,TRNormal,TRUE
620,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/irclink,paragraph,TRNormal,paragraph,TRNormal,TRUE
621,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/irclink/marker,paragraph,TRNormal,paragraph,TRNormal,TRUE
622,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/exreflink,paragraph,TRNormal,paragraph,TRNormal,TRUE
623,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/exreflink/marker,paragraph,TRNormal,paragraph,TRNormal,TRUE
624,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/xref,paragraph,TRNormal,paragraph,TRNormal,TRUE
625,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/xref/marker,paragraph,TRNormal,paragraph,TRNormal,TRUE
626,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
627,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
628,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
629,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/treglink,footnote,Footnote Text,footnote,Footnote Text,TRUE
